created_at,entry_id,field1,field2,field3,field4
2018-11-06 21:06:10 UTC,291893,0,36.3,27.312,25.187
2018-11-06 21:06:40 UTC,291894,0,36.3,27.375,25.187
2018-11-06 21:06:55 UTC,291895,0,36.3,27.375,25.187
2018-11-06 21:07:10 UTC,291896,0,36.9,27.375,25.187
2018-11-06 21:07:41 UTC,291897,0,36.3,27.375,25.187
2018-11-06 21:08:11 UTC,291898,0,36.3,27.437,25.187
2018-11-06 21:08:41 UTC,291899,0,36.9,27.437,25.187
2018-11-06 21:09:10 UTC,291900,0,35.8,27.437,25.187
2018-11-06 21:09:40 UTC,291901,0,36.3,27.437,25.187
2018-11-06 21:09:56 UTC,291902,0,36.3,27.437,25.25
2018-11-06 21:10:25 UTC,291903,0,35.8,27.437,25.187
2018-11-06 21:10:40 UTC,291904,0,36.3,27.437,25.25
2018-11-06 21:10:55 UTC,291905,0,36.3,27.437,25.187
2018-11-06 21:11:11 UTC,291906,0,36.3,27.437,25.25
2018-11-06 21:11:41 UTC,291907,0,36.3,27.375,25.25
2018-11-06 21:12:10 UTC,291908,0,35.8,27.312,25.25
2018-11-06 21:12:40 UTC,291909,0,35.8,27.312,25.25
2018-11-06 21:12:55 UTC,291910,0,36.3,27.375,25.25
2018-11-06 21:13:11 UTC,291911,0,36.3,27.437,25.25
2018-11-06 21:13:40 UTC,291912,0,36.9,27.437,25.25
2018-11-06 21:13:56 UTC,291913,0,35.8,27.437,25.25
2018-11-06 21:14:25 UTC,291914,0,36.3,27.437,25.25
2018-11-06 21:14:40 UTC,291915,0,35.8,27.437,25.25
2018-11-06 21:14:56 UTC,291916,0,36.3,27.5,25.25
2018-11-06 21:15:26 UTC,291917,0,36.3,27.437,25.25
2018-11-06 21:15:41 UTC,291918,0,36.9,27.437,25.25
2018-11-06 21:16:11 UTC,291919,0,36.3,27.375,25.25
2018-11-06 21:16:27 UTC,291920,0,36.3,27.375,25.25
2018-11-06 21:16:56 UTC,291921,0,35.8,27.312,25.25
2018-11-06 21:17:25 UTC,291922,0,35.8,27.25,25.25
2018-11-06 21:17:40 UTC,291923,0,36.3,27.25,25.25
2018-11-06 21:18:11 UTC,291924,0,35.8,27.25,25.25
2018-11-06 21:18:40 UTC,291925,0,35.8,27.312,25.25
2018-11-06 21:18:55 UTC,291926,0,35.8,27.312,25.25
2018-11-06 21:19:11 UTC,291927,0,35.8,27.312,25.25
2018-11-06 21:19:40 UTC,291928,0,35.8,27.375,25.25
2018-11-06 21:19:55 UTC,291929,0,35.8,27.375,25.25
2018-11-06 21:20:25 UTC,291930,0,35.8,27.312,25.25
2018-11-06 21:20:40 UTC,291931,0,35.8,27.312,25.25
2018-11-06 21:20:56 UTC,291932,0,35.8,27.312,25.25
2018-11-06 21:21:25 UTC,291933,0,35.8,27.25,25.25
2018-11-06 21:21:55 UTC,291934,0,35.8,27.312,25.25
2018-11-06 21:22:11 UTC,291935,0,36.3,27.375,25.25
2018-11-06 21:22:41 UTC,291936,0,36.3,27.375,25.25
2018-11-06 21:23:11 UTC,291937,0,36.3,27.437,25.25
2018-11-06 21:23:40 UTC,291938,0,35.8,27.437,25.25
2018-11-06 21:23:56 UTC,291939,0,36.9,27.437,25.25
2018-11-06 21:24:26 UTC,291940,0,36.9,27.437,25.25
2018-11-06 21:24:55 UTC,291941,0,36.3,27.437,25.25
2018-11-06 21:25:11 UTC,291942,0,35.8,27.437,25.25
2018-11-06 21:25:41 UTC,291943,0,35.8,27.375,25.25
2018-11-06 21:26:10 UTC,291944,0,36.3,27.375,25.25
2018-11-06 21:26:26 UTC,291945,0,35.8,27.312,25.25
2018-11-06 21:26:55 UTC,291946,0,35.8,27.312,25.25
2018-11-06 21:27:11 UTC,291947,0,35.8,27.375,25.25
2018-11-06 21:27:42 UTC,291948,0,36.3,27.375,25.25
2018-11-06 21:28:11 UTC,291949,0,35.8,27.375,25.25
2018-11-06 21:28:40 UTC,291950,0,36.3,27.312,25.25
2018-11-06 21:28:56 UTC,291951,0,35.8,27.375,25.25
2018-11-06 21:29:27 UTC,291952,0,35.8,27.312,25.25
2018-11-06 21:29:56 UTC,291953,0,35.8,27.312,25.25
2018-11-06 21:30:26 UTC,291954,0,35.8,27.312,25.25
2018-11-06 21:30:42 UTC,291955,0,35.8,27.312,25.25
2018-11-06 21:31:11 UTC,291956,0,36.3,27.312,25.25
2018-11-06 21:31:27 UTC,291957,0,35.8,27.312,25.25
2018-11-06 21:31:42 UTC,291958,0,35.8,27.375,25.25
2018-11-06 21:31:59 UTC,291959,0,35.8,27.375,25.25
2018-11-06 21:32:25 UTC,291960,0,36.3,27.375,25.312
